|time| inM  |  instruction   |reset| outM  |writeM |addre| pc  |DRegiste|
|41+ | 11111|1110001100000101|  0  |      0|   0   |25348|25347|      0 |
|42  | 11111|1110001100000101|  0  |      0|   0   |25349|25348|      0 |
|42+ | 11111|1110001100000110|  0  |      0|   0   |25349|25348|      0 |
|43  | 11111|1110001100000110|  0  |      0|   0   |25350|25349|      0 |
|43+ | 11111|1110001100000111|  0  |      0|   0   |25350|25349|      0 |
|44  | 11111|1110001100000111|  0  |      0|   0   |25351|25350|      0 |
|44+ | 11111|1110001100000111|  1  |      0|   0   |25351|25350|      0 |
|45  | 11111|1110001100000111|  1  |      0|   0   |25351|    0|      0 |
|45+ | 11111|0111111111111111|  0  |      0|   1   |25351|    0|      0 |
|46  | 11111|0111111111111111|  0  |      0|   1   |25351|25351|      0 |
